Election Year,Expert ID,State,Sex,Age Range,Politician,Candidate,Activist,Monitor,Election Official,Voter,Citizen,Political Scale,Candidate Supported,Perceptions of Electoral Integrity Index,State Electoral Integrity,National Electoral Integrity,Laws Discriminated,Laws Favored Incumbent,Laws Restricted Citizen Rights,Electoral Laws Index,Election Managed Well,Voting Information Available,Election Officials Fair,Election Followed Law,Election Procedures Index,Boundaries Discriminated,Boundaries Favored Incumbent,Boundaries Impartial,Voting District Boundaries Index,Citizens Not Found in Register,Register Inaccurate,Ineligible Voters Registered,Voter Registration Index,Opposition Prevented,Women Provided Opportunity,Leaders Selected Candidates,Campaign Rallies Restricted,Party/Candidate Registration Index,Newspapers Balanced,Television Favored Incumbent,Media Access Fair,Media Coverage Fair,Social Media Exposed Fraud,Media Coverage Index,Subsidy Access Fair,Donation Access Fair,Campaign Accounts Transparent,Elections Bought by Rich,Resources Improperly Used,Campaign Finance Index,Voters Threatened with Violence,Fradulent Votes Cast,Voting Process Easy,Choice of Candidates,Postal Ballots Available,Disabled Provided Access,Expatriates Able to Vote,Internet Ballots Available,Voting Process Index,Ballot Boxes Secure,Results Announced Without Delay,Vote Count Fair,International Monitors Restricted,Domestic Monitors Restricted,Vote Count Index,Results Challenged,Protests Peaceful,Protests Violent,Dispute Resolved in Courts,Election Results Index,Authorities Impartial,Information Distributed,Authorities Scrutinized,Authorities Performed Well,Electoral Authorities Index,Election Rigged,Deadlines Restrictive,Voters Waited,Voters Intimidated,Multiple Ballots Cast,Machines Accurate,Records Secure,Votes Counted Quickly,Outcome Reflected Popular Will
2016,11,Arizona,Male,80-89,,,,,,1,1,4,Clinton,44.62,8,8,Strongly Agree,Disagree,Strongly Agree,25,Disagree,Agree,Neither Agree Nor Disagree,Agree,56.25,Strongly Agree,Strongly Agree,Strongly Disagree,0,Strongly Agree,Strongly Agree,Disagree,25,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,60,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,55,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,30,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Don't Know,Don't Know,Strongly Disagree,63.44,Agree,Agree,Disagree,Not Applicable,Don't Know,60.75,Disagree,Strongly Agree,Disagree,Disagree,43.75,Disagree,Agree,Strongly Disagree,Strongly Disagree,25,Strongly Disagree,Strongly Agree,Strongly Agree,Don't Know,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
2016,12,Arizona,Female,60-69,,,,,,1,1,2,Clinton,41.91,3,3,Don't Know,Agree,Agree,,Disagree,Disagree,Neither Agree Nor Disagree,Agree,43.75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Agree,Don't Know,Don't Know,47.08,Don't Know,Agree,Strongly Agree,Disagree,44.25,Strongly Disagree,Disagree,Don't Know,Strongly Disagree,Strongly Disagree,23.75,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Don't Know,30.75,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Don't Know,Agree,Agree,58.59,Agree,Disagree,Don't Know,Agree,Disagree,56.75,Agree,Agree,Disagree,Don't Know,43.75,Disagree,Agree,Agree,Neither Agree Nor Disagree,56.25,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree
2016,13,Arizona,Female,30-39,,,,,,1,1,2,Clinton,52.63,7,7,Agree,Strongly Agree,Agree,16.67,Disagree,Disagree,Agree,Agree,50,Don't Know,Don't Know,Don't Know,16.25,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,41.67,Disagree,Agree,Disagree,Disagree,75,Agree,Disagree,Disagree,Disagree,Disagree,45,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,35,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Don't Know,,Agree,71.09,Agree,Agree,Agree,Don't Know,Don't Know,72.25,Disagree,Agree,Disagree,Agree,62.5,Disagree,Agree,Disagree,Agree,50,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree
2016,14,Arizona,Male,30-39,,,,,,1,1,3,Clinton,52.83,7,8,Agree,Strongly Agree,Agree,16.67,Disagree,Agree,Agree,Agree,62.5,Agree,Strongly Agree,Disagree,16.67,Don't Know,Don't Know,Don't Know,52.5,Don't Know,Disagree,Don't Know,Disagree,54,Agree,Agree,Disagree,Agree,Disagree,45,Agree,Don't Know,Disagree,Neither Agree Nor Disagree,Agree,45.75,Don't Know,Disagree,Agree,Agree,Strongly Agree,Don't Know,Don't Know,Strongly Disagree,66.56,Don't Know,Agree,Agree,Don't Know,Don't Know,75,Disagree,Agree,Disagree,Agree,62.5,Disagree,Agree,Agree,Disagree,50,Disagree,Agree,Agree,Don't Know,Disagree,Agree,Don't Know,Agree,Agree
2016,15,Arizona,Female,60-69,,,,,,1,1,3,,74.26,9,7,Agree,Strongly Agree,Strongly Agree,8.33,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,58.33,Neither Agree Nor Disagree,Disagree,Strongly Disagree,75,Disagree,Agree,Not Applicable,Strongly Disagree,78,Agree,Disagree,Strongly Agree,Agree,Disagree,70,Agree,Agree,Agree,Disagree,Strongly Disagree,80,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,81.25,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Disagree,84.75,Disagree,Agree,Disagree,Neither Agree Nor Disagree,56.25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2016,16,Arkansas,Male,60-69,,,,,,1,1,4,Clinton,61.35,8,8,Agree,Strongly Agree,Disagree,33.33,Agree,Agree,Agree,Agree,75,Disagree,Agree,Agree,58.33,Agree,Agree,Agree,25,Disagree,Agree,Disagree,Disagree,75,Disagree,Neither Agree Nor Disagree,Agree,Agree,Don't Know,49.25,Agree,Disagree,Disagree,Disagree,Disagree,55,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,62.5,Agree,Agree,Agree,Don't Know,Disagree,72.25,Disagree,Disagree,Disagree,Agree,75,Agree,,Agree,Agree,74.69,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
2016,17,Arkansas,Female,40-49,,,,,,1,1,3,Clinton,63.49,9,8,Neither Agree Nor Disagree,Agree,Disagree,50,Agree,Agree,Agree,Agree,75,Agree,Agree,Disagree,25,Don't Know,Don't Know,Don't Know,47.92,Disagree,Strongly Agree,Don't Know,Disagree,82.75,Disagree,Disagree,Disagree,Disagree,Disagree,35,Don't Know,Don't Know,Disagree,Agree,Don't Know,42.75,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Strongly Agree,Strongly Disagree,77.03,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,84.75,Disagree,Disagree,Disagree,Agree,75,Agree,Agree,Agree,Agree,75,Strongly Disagree,Disagree,Agree,Disagree,Don't Know,Strongly Agree,Don't Know,Strongly Agree,Strongly Agree
2016,18,Arkansas,Male,50-59,,,,,,,1,4,Clinton,66.76,9,8,Agree,Disagree,Neither Agree Nor Disagree,50,Agree,Agree,Strongly Agree,Strongly Agree,87.5,Strongly Agree,Strongly Agree,Disagree,8.33,Agree,Agree,Disagree,41.67,Disagree,Agree,Disagree,Strongly Disagree,80,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,60,Agree,Agree,Agree,Disagree,Disagree,75,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,43.75,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Disagree,88.25,Not Applicable,Strongly Disagree,Strongly Disagree,Not Applicable,88.75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2016,19,Arkansas,Male,40-49,,,,,,1,1,4,Clinton,53.11,7,6,Strongly Agree,Strongly Agree,Disagree,25,Agree,Agree,Agree,Agree,75,Agree,Agree,Disagree,25,Don't Know,Don't Know,Don't Know,48.33,Don't Know,Agree,Disagree,Don't Know,63.5,Don't Know,Strongly Agree,Disagree,Disagree,Don't Know,23.75,Disagree,Disagree,Disagree,Disagree,Don't Know,41,Disagree,Agree,Strongly Agree,Agree,Don't Know,Agree,Agree,Strongly Disagree,63.13,Agree,Agree,Agree,Don't Know,Don't Know,72.25,Disagree,Agree,Disagree,Agree,62.5,Disagree,Agree,Agree,Agree,62.5,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
2016,20,Arkansas,Male,40-49,,,,,,1,1,4,Stein,70.41,10,7,Agree,Agree,Strongly Disagree,50,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Strongly Disagree,Disagree,Disagree,66.67,Strongly Disagree,Strongly Agree,Agree,41.67,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,85,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,35,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,25,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,71.88,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,100,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree
2016,21,California,Male,70-79,,,,,,1,1,4,Clinton,76.45,10,6,Agree,Disagree,Strongly Disagree,66.67,Agree,Strongly Agree,Agree,Agree,81.25,Strongly Disagree,Strongly Disagree,Don't Know,76.67,Disagree,Strongly Disagree,Strongly Disagree,91.67,Disagree,Strongly Agree,Disagree,Strongly Disagree,90,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,60,Agree,Agree,Agree,Agree,Disagree,65,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,84.38,Agree,Neither Agree Nor Disagree,Agree,Don't Know,Don't Know,68.25,Disagree,Agree,Disagree,Agree,62.5,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree
2016,22,California,Male,40-49,,,,,,1,1,3,Clinton,57.04,10,5,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,66.67,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,87.5,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,55,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,50,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,20,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,50,Don't Know,Disagree,Don't Know,Don't Know,Don't Know,69.5,Strongly Disagree,Strongly Agree,Disagree,Don't Know,61.88,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,81.25,Strongly Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Don't Know,Don't Know,Disagree,Strongly Disagree
2016,23,California,Male,30-39,,,,,,1,1,8,Clinton,79.36,10,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,100,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Strongly Disagree,Strongly Agree,100,Agree,Disagree,Agree,41.67,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Disagree,Disagree,Agree,Agree,Strongly Disagree,50,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,85,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Disagree,78.13,Strongly Agree,Agree,Strongly Agree,Not Applicable,Not Applicable,87.75,Agree,Strongly Agree,Agree,Agree,31.25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable
2016,24,California,Male,40-49,,,,,,1,1,2,Clinton,85.41,10,9,Agree,Strongly Disagree,Strongly Disagree,75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Disagree,Strongly Agree,91.67,Strongly Disagree,Strongly Disagree,Disagree,91.67,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,100,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,85,Agree,Agree,Agree,Strongly Disagree,Disagree,80,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,87.5,Strongly Agree,Agree,Strongly Agree,Not Applicable,Not Applicable,85.25,Strongly Agree,,Disagree,Strongly Agree,45.94,Agree,Strongly Agree,Strongly Agree,Strongly Agree,93.75,Strongly Disagree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree
2016,25,California,Male,40-49,,,,,,1,1,6,Clinton,71.68,9,9,Agree,Neither Agree Nor Disagree,Strongly Disagree,58.33,Strongly Agree,Strongly Agree,Don't Know,Strongly Agree,95.31,Agree,Agree,Disagree,25,Don't Know,Don't Know,Don't Know,57.08,Strongly Disagree,Strongly Agree,Don't Know,Strongly Disagree,95.25,Agree,Strongly Disagree,Agree,Agree,Don't Know,73.75,Don't Know,Don't Know,Don't Know,Neither Agree Nor Disagree,Don't Know,59.5,Disagree,Don't Know,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,75.78,Don't Know,Strongly Agree,Don't Know,Don't Know,Don't Know,83.75,Disagree,Agree,Disagree,Don't Know,61.88,Agree,Agree,Don't Know,Agree,73.75,Strongly Disagree,Disagree,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Disagree,Neither Agree Nor Disagree
2016,26,California,Male,30-39,,,,,,1,1,3,Clinton,60.74,5,3,Agree,Agree,Neither Agree Nor Disagree,33.33,Strongly Agree,Agree,Strongly Agree,Strongly Agree,93.75,Disagree,Disagree,Agree,75,Don't Know,Don't Know,Don't Know,54.58,Don't Know,Agree,Agree,Don't Know,68.5,Disagree,Disagree,Disagree,Disagree,Disagree,35,Disagree,Disagree,Don't Know,Strongly Agree,Disagree,32.75,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Don't Know,69.38,Agree,Agree,Agree,Don't Know,Disagree,74.75,Disagree,Agree,Agree,Don't Know,50.63,Agree,Agree,Agree,Agree,75,Disagree,Strongly Agree,Don't Know,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree
2016,27,California,Male,80-89,,,,,,1,1,3,Clinton,72.76,9,5,Agree,Strongly Agree,Strongly Disagree,41.67,Strongly Agree,Strongly Agree,Agree,Strongly Agree,93.75,Disagree,Strongly Agree,Disagree,33.33,Don't Know,Don't Know,Don't Know,64.58,Disagree,Strongly Agree,Strongly Disagree,Disagree,90,Agree,Neither Agree Nor Disagree,Agree,Agree,Don't Know,63,Disagree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Disagree,65,Strongly Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,78.75,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Don't Know,88,Strongly Disagree,Agree,Agree,Don't Know,52.81,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Disagree,Strongly Disagree,Don't Know,Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree
